ステーション名,住所,クラス,車種,コメント
アバンサーダ鶴見,神奈川県横浜市鶴見区鶴見中央5-2,ベーシック,フィット（ハイブリッド）,ジュニアシートなし
アバンサーダ鶴見,神奈川県横浜市鶴見区鶴見中央5-2,ミドル,フリード,
グランレジーナ矢向,神奈川県横浜市鶴見区矢向5-13,ベーシック,ノート,
グランレジーナ矢向,神奈川県横浜市鶴見区矢向5-13,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
グランレジーナ矢向,神奈川県横浜市鶴見区矢向5-13,ベーシック,ルーミー 1000,
コンフォール北寺尾,神奈川県横浜市鶴見区獅子ケ谷1-5,ベーシック,フィット（ハイブリッド）,ジュニアシートなし
サニーサイドヒルズ,神奈川県横浜市鶴見区北寺尾1-10,ベーシック,フィット（ハイブリッド）,ジュニアシートなし
サンハイム鶴見,神奈川県横浜市鶴見区下野谷町1-5,ベーシック,ノート e-POWER,
サンハイム鶴見,神奈川県横浜市鶴見区下野谷町1-5,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
サンハイム鶴見,神奈川県横浜市鶴見区下野谷町1-5,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズマンスリー東寺尾北台,神奈川県横浜市鶴見区東寺尾北台9,ベーシック,ルーミー 1000,
タイムズマンスリー東寺尾北台,神奈川県横浜市鶴見区東寺尾北台9,ベーシック,MAZDA3 5HB 1500,
タイムズ下末吉第３,神奈川県横浜市鶴見区下末吉2-9,ベーシック,ハスラー,
タイムズ下末吉第３,神奈川県横浜市鶴見区下末吉2-9,ベーシック,ノート e-POWER,
タイムズ下末吉第５,神奈川県横浜市鶴見区下末吉1-16,ベーシック,ノート e-POWER,
タイムズ下末吉第５,神奈川県横浜市鶴見区下末吉1-16,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ下末吉第７,神奈川県横浜市鶴見区下末吉1-17,ベーシック,ソリオ,
タイムズ下末吉３丁目,神奈川県横浜市鶴見区下末吉3-18,ベーシック,MAZDA2,DJ型（2019年-2023年）
タイムズ下末吉３丁目,神奈川県横浜市鶴見区下末吉3-18,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年） ジュニアシートなし
タイムズ下末吉５丁目,神奈川県横浜市鶴見区下末吉5-24,ベーシック,ハスラー,
タイムズ下末吉５丁目,神奈川県横浜市鶴見区下末吉5-24,ベーシック,ハスラー,
タイムズ尻手,神奈川県横浜市鶴見区尻手3-6,ベーシック,オーラ e-POWER,ジュニアシートなし
タイムズ尻手第３,神奈川県横浜市鶴見区尻手2-5,ベーシック,ヤリス（ハイブリッド）,
タイムズ尻手第３,神奈川県横浜市鶴見区尻手2-5,ミドル,フリード,
タイムズ尻手１丁目,神奈川県横浜市鶴見区尻手1-4,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ尻手１丁目第２,神奈川県横浜市鶴見区尻手1-7,ベーシック,アクア（ハイブリッド）,
タイムズ尻手１丁目第２,神奈川県横浜市鶴見区尻手1-7,ベーシック,フィット,
タイムズ梶山,神奈川県横浜市鶴見区梶山2-29,ベーシック,ノート e-POWER,
タイムズ横浜栄町通第３,神奈川県横浜市鶴見区栄町通3-26,ベーシック,フィット（ハイブリッド）,
タイムズ横浜栄町通第３,神奈川県横浜市鶴見区栄町通3-26,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ横浜栄町通第３,神奈川県横浜市鶴見区栄町通3-26,ミドル,フリード,
タイムズ生麦第１０,神奈川県横浜市鶴見区生麦1-14,ベーシック,ノート e-POWER,
タイムズ生麦第４,神奈川県横浜市鶴見区生麦4-12,ベーシック,N BOX,
タイムズ生麦第４,神奈川県横浜市鶴見区生麦4-12,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ生麦第７,神奈川県横浜市鶴見区生麦1-6,ベーシック,ノート e-POWER,
タイムズ生麦第７,神奈川県横浜市鶴見区生麦1-6,ベーシック,ヤリス（ハイブリッド）,
タイムズ生麦第７,神奈川県横浜市鶴見区生麦1-6,ベーシック,MAZDA3 5HB 1500,
タイムズ生麦第７,神奈川県横浜市鶴見区生麦1-6,ベーシック,ライズ（ハイブリッド）,
タイムズ生麦第９,神奈川県横浜市鶴見区生麦5-9,ベーシック,MAZDA2,DJ型（2019年-2023年）
タイムズ矢向４丁目,神奈川県横浜市鶴見区矢向4-22,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ矢向４丁目,神奈川県横浜市鶴見区矢向4-22,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ矢向４丁目,神奈川県横浜市鶴見区矢向4-22,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ矢向４丁目,神奈川県横浜市鶴見区矢向4-22,ベーシック,ヤリスクロス（ハイブリッド）,
タイムズ花月園,神奈川県横浜市鶴見区岸谷4-33,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
