ステーション名,住所,車種
タイムズ鶴屋町第２,神奈川県横浜市神奈川区鶴屋町1-7,ヤリス（ハイブリッド）
タイムズＪＲ横浜パーキング９Ｆ,神奈川県横浜市神奈川区鶴屋町1-66,ライズ
タイムズＪＲ横浜パーキング９Ｆ,神奈川県横浜市神奈川区鶴屋町1-66,ワゴンRスマイル 660
タイムズＪＲ横浜パーキング９Ｆ,神奈川県横浜市神奈川区鶴屋町1-66,ノート e-POWER
タイムズＪＲ横浜パーキング９Ｆ,神奈川県横浜市神奈川区鶴屋町1-66,ヤリス（ハイブリッド）
タイムズＪＲ横浜パーキング９Ｆ,神奈川県横浜市神奈川区鶴屋町1-66,シエンタ
タイムズＪＲ横浜パーキング９Ｆ,神奈川県横浜市神奈川区鶴屋町1-66,フリード
タイムズＪＲ横浜パーキング９Ｆ,神奈川県横浜市神奈川区鶴屋町1-66,セレナ
横浜ベイクォーター,神奈川県横浜市神奈川区金港町 1,ヤリス（ハイブリッド）
横浜ベイクォーター,神奈川県横浜市神奈川区金港町 1,アクア（ハイブリッド）
横浜ベイクォーター,神奈川県横浜市神奈川区金港町 1,ヤリスクロス（ハイブリッド）
横浜ベイクォーター,神奈川県横浜市神奈川区金港町 1,オーラ e-POWER
横浜ベイクォーター,神奈川県横浜市神奈川区金港町 1,フリード
横浜ベイクォーター,神奈川県横浜市神奈川区金港町 1,CX-30 2000（M-ハイブリッド）
横浜ベイクォーター,神奈川県横浜市神奈川区金港町 1,セレナ
横浜ベイクォーター,神奈川県横浜市神奈川区金港町 1,ノア（ハイブリッド）
谷川ビル駐車場,神奈川県横浜市神奈川区鶴屋町2-24,ヤリス（ハイブリッド）
タイムズハマボールイアス,神奈川県横浜市西区北幸2-2,ノート e-POWER
タイムズプライムコーストみなとみらい,神奈川県横浜市西区みなとみらい6-3,ヤリス（ハイブリッド）
タイムズプライムコーストみなとみらい,神奈川県横浜市西区みなとみらい6-3,フリード
タイムズプライムコーストみなとみらい,神奈川県横浜市西区みなとみらい6-3,ノア
タイムズプライムコーストみなとみらい,神奈川県横浜市西区みなとみらい6-3,ノア（ハイブリッド）
タイムズポート横浜南幸（ゲート外）,神奈川県横浜市西区南幸2-2,ソリオ
タイムズポート横浜南幸（ゲート外）,神奈川県横浜市西区南幸2-2,MAZDA2
タイムズポート横浜南幸（ゲート外）,神奈川県横浜市西区南幸2-2,ヤリス（ハイブリッド）
タイムズポート横浜南幸（ゲート外）,神奈川県横浜市西区南幸2-2,セレナ
タイムズポート横浜南幸（ゲート外）,神奈川県横浜市西区南幸2-2,ノア（ハイブリッド）
タイムズ北幸第５,神奈川県横浜市西区北幸2-7,ノート e-POWER
タイムズ北幸第５,神奈川県横浜市西区北幸2-7,ヤリス（ハイブリッド）
タイムズ北幸第５,神奈川県横浜市西区北幸2-7,アクア（ハイブリッド）
タイムズ北幸第５,神奈川県横浜市西区北幸2-7,ノア（ハイブリッド）
北幸２丁目月極,神奈川県横浜市西区北幸2-13,ソリオ
